source,model,model_label,model_family,target,model_params,train_split,train_n,usable_n,row_type,feature,feature_label,feature_mean_train,feature_std_train,coefficient_scaled,coefficient_raw_scale,intercept_scaled_space,intercept_raw_scale,direction,coefficient_unit,note
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,intercept,intercept,intercept,,,,,0.62101318384,0.551731210477,baseline,log-odds per 1 standard deviation,intercept_scaled_space applies after StandardScaler; intercept_raw_scale applies to raw input features
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,feature,x_log_contract_price,契約總價(log),14.0019351721,5.68736141019,0.00814591592594,0.0014322838551,,,raise reduction probability,log-odds per 1 standard deviation,feature coefficient from Streamlit live training pipeline
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,feature,x_log_claimed_penalty,主張違約金(log),14.9287284894,3.33338649972,-0.21155381874,-0.0634651333585,,,lower reduction probability,log-odds per 1 standard deviation,feature coefficient from Streamlit live training pipeline
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,feature,x_claim_to_contract_ratio,主張違約金/契約總價,201.714418748,3803.58018396,0.0970582275182,2.55175973225e-05,,,raise reduction probability,log-odds per 1 standard deviation,feature coefficient from Streamlit live training pipeline
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,feature,x_delay_days,逾期天數,115.164835165,182.762144332,0.0550844260272,0.000301399538885,,,raise reduction probability,log-odds per 1 standard deviation,feature coefficient from Streamlit live training pipeline
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,feature,x_penalty_per_delay_day,每日違約金,2098898.36837,29419430.7228,1.98623533849,6.75144042453e-08,,,raise reduction probability,log-odds per 1 standard deviation,feature coefficient from Streamlit live training pipeline
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,feature,x_issue_owner_fault,業主可歸責爭點,0.67032967033,0.470093398598,-0.00182236396498,-0.00387659977871,,,lower reduction probability,log-odds per 1 standard deviation,feature coefficient from Streamlit live training pipeline
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,feature,x_issue_contractor_fault,承包商可歸責爭點,0.736263736264,0.440657970456,0.08866981064,0.201221392973,,,raise reduction probability,log-odds per 1 standard deviation,feature coefficient from Streamlit live training pipeline
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,feature,x_issue_extension_request,展延申請爭點,0.483516483516,0.49972821982,0.00537406099096,0.0107539674123,,,raise reduction probability,log-odds per 1 standard deviation,feature coefficient from Streamlit live training pipeline
06_交付物\ai_rag_annotation_expanded_824\annotation_workbook_ai_assumed.csv,logistic_regression_l2,Logistic Regression,classification,is_reduced=1,C=100.0; solver=lbfgs; max_iter=5000,2021-2023,455,824,feature,x_issue_actual_damage_unclear,實際損害不明爭點,0.613186813187,0.487020271981,0.077293561918,0.158707073124,,,raise reduction probability,log-odds per 1 standard deviation,feature coefficient from Streamlit live training pipeline
