query_JID,query_title,similar_rank,similar_JID,similarity_score,similar_decision_year,similar_court,similar_title,shared_terms,similar_matched_strong_reduction_terms,similar_json_file,similar_reduction_snippet,similar_delay_snippet
"KSDV,109,訴,1349,20210122,4",返還履約保證金等,1,"TPHV,113,重上,4,20260429,1",0.9642,2026,臺灣高等法院民事,履行契約,過高;酌減;逾期;逾期違約金;違約金;遲延;展延;履約保證金;驗收;民法第252條;政府採購;第252條,民法第252條;酌減;第252條;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202604/臺灣高等法院民事/TPHV,113,重上,4,20260429,1.json","構測試，另關於驗收外觀標準亦不明確，迄於108年7月 23日始函覆伊以樣布為準，則伊以上開履約爭議申請暫停履 約第1批及其後各批契約應屬有據，國防部片面解除第2、3 批抗彈布之契約非合法，依民法第179條規定，應返還伊上 開沒收之履約保證金420萬元，倘認國防部上開解約合法， 因沒收履約保證金之違約金約定金額過高，應酌減至履約保 證金之半數即各105萬元後，依民法第179條規定，國防部應 返還210萬元予伊。⑵國防部計罰逾期違約金1,400萬元部分 ：關於第2、3批部分，伊已於108年5月24日申請暫停履約， 乃因第1批性能測試未通過，究係抗彈布本身瑕疵，或國防 部壓制不當，影響伊後續批次是否需調整，於國防部在109",1、2、3、4批），伊於108年4月22日 交付第1批抗彈布，經國防部於108年5月20日第1次驗收以標 示要求、外觀、文件、抗彈板性能測試等瑕疵判定不合格， 經伊於同年月24日申請於釐清性能測試爭議前，就第1批及 後續批次暫停履約，國防部未予同意，並分別於108年8月1 日、同年月26日通知伊第2批、第3批逾期給付已達18日以上 ，為解除第2、3批契約之意思表示，並依系爭採購契約之採 購計畫清單（下稱採購計畫清單）（十八）備註16.⑴及國防 部內購財物採購契約通用條款（下稱通用條款）第11條之㈢ 分別沒入該2、3批之履約保證金各210萬元共420萬元。另就 上開第2、3批解約前，分別以逾期75日、55日，依採購計畫
"KSDV,109,訴,1349,20210122,4",返還履約保證金等,2,"TYDV,111,簡上,255,20231130,1",0.9234,2023,臺灣桃園地方法院民事,給付工程款等,過高;逾期;違約金;遲延;逾期違約金;酌減;展延;驗收;民法第252條;第252條;issue_partial_completion;issue_actual_damage_unclear,民法第252條;酌減;第252條;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202311/臺灣桃園地方法院民事/TYDV,111,簡上,255,20231130,1.json","8年12月31日，縱認上訴人未於108年1 月15日完成系爭工作項目，惟被上訴人並未要求改正期限 ，且系爭工作項目業經被上訴人於108年12月17日驗收通 過，上訴人依約自無遲延可言。況上訴人縱有違約情事， 逾期違約金以每日1,000元計算並不符合契約，且違約金 並無任何比例計算標準，顯然過高，應予酌減。被上訴人 以系爭工作項目遲延為由扣罰逾期違約金43萬元，為無理 由等語，為此，爰依民法第490條、第505條規定及系爭契 約第5條第3項約定，請求被上訴人應給付上訴人43萬元， 及自起訴狀繕本送達翌日起至清償日止，按週年利率5％計 算之利息（原審為上訴人敗訴判決，上訴人不服，提","擬訂完善應變運作對策，提供相關需求配備」（下稱緊急 應變小組設置項目）及「檢視本公司OCC運作機制（含編 制、任務分工及運作機制），擬訂完善應變運作對策，提 供相關需求配備」（下稱OCC運作機制項目）兩合作內容 （下併稱系爭工作項目），自108年1月21日起至108年12 月17日止，已逾期331日，扣除在途及被上訴人審查期間 ，共逾期215日，依工作說明書第7點第⑸項應按日扣罰1,0 00元，共計罰違約金43萬元，並自價金中扣除。惟上訴人 業於108年1月15日以應管字第1080115001號函，通知被上 訴人於108年1月15日完成系爭工作項目，兩造間就系爭服 務案未約定"
"KSDV,109,訴,1349,20210122,4",返還履約保證金等,3,"TPDV,110,重訴,616,20230609,2",0.9127,2023,臺灣臺北地方法院民事,履行契約,酌減;過高;逾期;逾期違約金;違約金;遲延;履約保證金;驗收;民法第252條;第252條;issue_actual_damage_unclear;公共工程,民法第252條;酌減;第252條;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202306/臺灣臺北地方法院民事/TPDV,110,重訴,616,20230609,2.json",貨物，被 告不予同意，並分別於108年8月1日、同年8月26日解除第二、三 批貨物之契約。原告於108年8月23日交付第四批貨物，於同年9 月5日第一次驗收「外觀」項目不合格，嗣被告分別於108年11月 12日、110年3月11日減價收受第四批、第一批貨物。 原告主張被告解除第二、三批貨物之契約不合法，第一、四 批貨物之逾期違約金計算亦屬過高，向本院起訴請求被告返還附 表二編號1所示之項目及金額。本院認為被告未依製程參數確認 表所載「設定溫度」壓製抗彈板，且未由再驗機構壓製抗彈板及 實施性能測試，違反系爭契約約定，原告以此申請暫停履約有理 由；至於原告主張外觀驗收標準不明，則無理由，不得以此暫停 履約。故被告就第一批貨物對原告計罰之逾期違約金數額有誤， 就第四批貨物對原告計罰之逾期違,約第一批及後續批次貨物，被 告不予同意，並分別於108年8月1日、同年8月26日解除第二、三 批貨物之契約。原告於108年8月23日交付第四批貨物，於同年9 月5日第一次驗收「外觀」項目不合格，嗣被告分別於108年11月 12日、110年3月11日減價收受第四批、第一批貨物。 原告主張被告解除第二、三批貨物之契約不合法，第一、四 批貨物之逾期違約金計算亦屬過高，向本院起訴請求被告返還附 表二編號1所示之項目及金額。本院認為被告未依製程參數確認 表所載「設定溫度」壓製抗彈板，且未由再驗機構壓製抗彈板及 實施性能測試，違反系爭契約約定，原告以此申請暫停履約有理 由；至於原告主張外觀驗收標準不明，則無理由，不得以此暫停 履約。故被告就第一批貨物對原告計罰之逾期違約金數額有誤， 就第四批貨物
"KSDV,109,訴,1349,20210122,4",返還履約保證金等,4,"TNDV,113,訴,1627,20251121,1",0.911,2025,臺灣臺南地方法院民事,給付工程款,過高;逾期;逾期違約金;違約金;遲延;酌減;驗收;展延;履約保證金;民法第252條;可歸責;第252條,民法第252條;酌減;第252條;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202511/臺灣臺南地方法院民事/TNDV,113,訴,1627,20251121,1.json","判決意旨，被告仍 須證明其受有損害，否則無由向原告主張逾期違約金。 又被告所稱因原告遲延提供履約標的而受有「延後使用該 等設備之損害」，實質上應屬「所失利益」，依系爭契約 第15條第10項第1款約定，原告所負賠償責任不包括非因 故意或重大過失所致之「所失利益」。另上揭違約金之約 定過高，請求本院依民法第252條規定，將違約金酌減至 零等語。 （三）並聲明： １、被告應給付原告1,521,651元，及其中703,281元自起訴狀 繕本送達翌日起、其中818,370元自追加起訴狀繕本送達 翌日起，均至清償日止，按年息百分之5計算之利息。 ２、被告應給付原告123,635元。 ３、願供擔保","項、第505條規 定請求被告給付尾款703,281元。又依系爭契約第13條第1 項、第11條第1項約定，系爭工程之驗收合格日為111年12 月8日，被告應一次發還保固保證金818,370元予原告，被 告卻以114年3月27日南市○區○○0000000000號函通知被告 將先由保固保證金扣抵逾期違約金差額1,013,230元，然 而系爭工程並無逾期問題，被告扣抵逾期違約金實屬無據 ，被告應依上開約定發還保固保證金818,370元予原告； 是被告應給付上揭尾款及保固保證金共計1,521,651元。 另系爭工程於111年11月29日進行第一次第二階段驗收， 原告並已依約於111年11"
"KSDV,109,訴,1349,20210122,4",返還履約保證金等,5,"TPDV,113,建,73,20251231,1",0.9009,2025,臺灣臺北地方法院民事,給付違約金,過高;逾期;逾期違約金;違約金;酌減;遲延;驗收;履約保證金;民法第252條;第252條;issue_actual_damage_unclear;issue_partial_completion,民法第252條;酌減;第252條;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202512/臺灣臺北地方法院民事/TPDV,113,建,73,20251231,1.json",數名員工離職，另設新公司，致被告人手不足，衍生 本件爭議，原告隨即洽渠新公司繼續施作，並向被告追討施 作費用，恐有串謀。又系爭案件採購金額高達112萬4108元 ，數量非低，按工程慣例，大量採購備料成本應較零售價格 為低，且渠已實際施作系爭契約4年9個月，駕輕就熟，何以 渠出具報價單不論數量多寡，金額皆一致，單價顯有過高。 (二)被告修繕義務之產生應以各系所之叫修單為準，換言之，各 系所叫修單所填之應修繕數量傳達給被告後，才會使被告有 修繕義務發生，被告也才能預見若違約自己應負擔多少金額 及範圍之違約金，且實際修繕日期與叫修日期已有相當時日 經過，則叫修後至委請第三人修繕期間是否又於同處增加應 修數量，尚未可知，應無法一概,下同）1960萬元，嗣於105年2月19日簽訂「國立臺灣大學工 程契約書變更」（下稱系爭變更契約），約定系爭契約第一 次變更後總金額為2028萬9800元，履約期限為105年1月1日 起至109年12月31日止，被告應提供原告105至109年度全校 區T5燈具全責式維護。惟被告自109年9月起有大量燈具修繕 逾期，經原告於109年9月3日、109年9月24日以書面催促被 告應儘速完成逾期修繕燈具案，否則將處以罰款並逕行招商 修復，惟嗣後並未遵期辦理，原告遂將被告逾期修繕如附表 所示之燈具（下合稱系爭燈具）分成8批，另向第三人採購 始完成修繕，系爭燈具均在109年12月31日前發生損壞，並 經原告各使用單位叫修，屬被告
"MLDV,109,建,21,20210128,1",給付監造服務費用等,1,"CHDV,113,建,12,20250529,3",0.929,2025,臺灣彰化地方法院民事,給付工程款,工期;逾期;違約金;過高;酌減;逾期違約金;遲延;驗收;民法第252條;issue_partial_completion;第252條;可歸責,民法第252條;酌減;第252條;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202505/臺灣彰化地方法院民事/CHDV,113,建,12,20250529,3.json",，亦係廠商負責，故原告未提送人員機具車輛名冊及報備攝 影機裝設位置，均無損於被告；且原告提交施工計畫與報表 時，及系爭工程施工期間，被告均未曾要求原告補正提送人 員機具車輛名冊及報備攝影機裝設位置，被告係至系爭工程 完工結算，經審計部通知始發現，被告對此亦與有過失，況 原告就上開文件已有部分提出，故違約金應予酌減。 ㈣關於保險部分，系爭工程停工52日係不可歸責於原告，依系 爭契約第13條第9款規定，增加之保費應由兩造另行協議分 擔，原告亦已應被告要求延長保險契約，且所增保費亦未向 被告請求。被告認應將停工期間之保險順延，故不生加保或 延長保險期間之情，然以此方式，停工期間保險事故發生， 將無法理賠，且被告以保險費,"），約定契約價金1, 165萬8,000元，由原告承攬系爭工程。系爭工程曾因不可歸 責於原告之事由，簽辦變更設計，自112年12月8日起至113 年1月28日止停工共計52日，惟現已竣工，並經被告驗收完 畢。然原告向被告請領系爭工程尾款時，被告以113年7月9 日府農漁字第1130261785號函函復，因原告逾期提送人員機 具車輛名冊及報備攝影機裝設位置，應計違約金116萬5,800 元；另系爭工程原保險期間為112年6月22日至113年2月18日 ，因停工52日，預定竣工日順延至113年2月8日，依系爭契 約第13條規定，保險應保至113年5月8日，原告有保險範圍 不足之情，故應扣除3萬5,391元。是被告就原告請"
"MLDV,109,建,21,20210128,1",給付監造服務費用等,2,"TPDV,114,建,6,20250912,1",0.914,2025,臺灣臺北地方法院民事,返還不當得利,過高;酌減;工期;逾期;違約金;逾期違約金;可歸責;驗收;公共工程;遲延;issue_partial_completion;民法第252條,民法第252條;酌減;第252條;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202509/臺灣臺北地方法院民事/TPDV,114,建,6,20250912,1.json",元）。 ㈢縱依契約價金5092萬1424元計算違約131日，亦應考量建照核 准遲延、歷經候鳥度冬期無法進行結構工程，甚至受到疫情 影響，致建築人力、原物料短缺等非可歸責於原告事由，如 以原告違約131日為基準計算之逾期違約金為667萬707元（ 計算式：5092萬1424元×1‰×131日＝667萬707元），實屬過高 ，應依民法第251條、第252條規定酌減逾期違約金至158萬1 57元，始為適當。則被告扣罰逾期違約金1018萬4284元，於 超過158萬157元部分，並無法律上原因，應依民法第179條 規定返還差額860萬4127元（計算式：1018萬4284元-158萬1 57元＝860萬4127元）予原告等語，爰依,日為108年7月20日，履約期限為109年10月11日，然系爭工 程遲至108年10月28日始完成建照中五大管線全部送審，致 原告因候鳥度冬期自108年10月16日開始，原預定於108年9 月5日進行雷達站房建築主體工程無法動工，非可歸責於原 告之因素，直至109年4月1日方能進行主體工程之開工，是 應展延47日（自108年7月20日起至108年9月4日止，此為日 曆天，下同），並扣除因天候因素展延2日（即108年8月13 日、108年8月24日），自應再展延45日（計算式：47日-2日 ＝45日）。 ㈡又訴外人台江國家公園管理處（下稱台江管理處）雖於109年 8月6日進行指勘，惟查核後尚須複驗，致系爭工程遲至109
"MLDV,109,建,21,20210128,1",給付監造服務費用等,3,"PCDV,110,建,49,20230630,2",0.9119,2023,臺灣新北地方法院民事,給付工程款,過高;酌減;逾期;違約金;工期;遲延;驗收;逾期違約金;可歸責;承攬;issue_partial_completion;公共工程,酌減;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202306/臺灣新北地方法院民事/PCDV,110,建,49,20230630,2.json","4,877元。則被告再依系爭契約第9 條之2第7款第4目約定主張原告違規棄置營建廢棄物120立方 公尺，計罰懲罰性違約金352萬8,000元，已逾承攬廠商品質 管制規定第17點第11款規定處罰上限。系爭工程結算金額僅 136萬7,300元，被告違約金處罰竟達352萬8,000元，為結算 金額之2.58倍，顯然過高，況原告並無違反契約任意棄置營 建廢棄物之故意，相關碎石級配土方之引進實係基於被告及 瑞芳清潔隊之同意，原告更係基於善意協助施作，原告違約 情狀實屬輕微，處罰違約金實屬過苛，應予酌減。況查，被 告於本件根本未受損害，違約金實應酌減至0。蓋被告所稱 「本案後續已由育全環保企業社清除完成」云云，被告並無","輕微，處罰違約金實屬過苛，應予酌減。況查，被 告於本件根本未受損害，違約金實應酌減至0。蓋被告所稱 「本案後續已由育全環保企業社清除完成」云云，被告並無 支出任何費用，相關費用均係原告自行支付，被告處罰違約 金，實非有理。 ㈣系爭工程履約完成工項結算金額136萬7,300元，扣除減價收 受違約金18元、遲延違約金23萬0,340元，及品管違約金4萬 4,877元後，被告尚應給付原告109萬2,065元（計算式：136 萬7,300元－18元－23萬0,340元－4萬4,877元）。上開費用依 系爭契約第5條第1項第3款約定本應於驗收合格，原告繳納 保固保證金後15工作天内1次無息結付。本件被告已於110年 4月"
"MLDV,109,建,21,20210128,1",給付監造服務費用等,4,"TPHV,111,建上,56,20230913,1",0.9099,2023,臺灣高等法院民事,給付工程款,過高;工期;逾期;違約金;酌減;逾期違約金;驗收;可歸責;遲延;issue_partial_completion;民法第252條;第252條,民法第252條;酌減;第252條;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202309/臺灣高等法院民事/TPHV,111,建上,56,20230913,1.json","工程逾期完工149 日，認伊應給付違約金共172萬3,716元，經抵扣系爭工程尾 款後，已無工程款得以請求。然系爭工程逾期係因被上訴人 要求不得於週間施工、梅雨季節無法施工及被上訴人要求停 工等不可歸責予伊之事由所致，扣除各該日數後，伊並未逾 期完工，被上訴人不得請求逾期違約金。縱得請求，金額亦 屬過高，應予酌減。又被上訴人要求停工期間，伊所訂購之 水泥硬化無法使用，依系爭契約第4條第8項第5款約定「契 約履約期間，有下列情形之一（且非可歸責於廠商，致增加 廠商履約成本者，廠商為完成契約標的所需增加之必要費用 ，由機關負擔）...5.機關要求全部或部分暫停執行（停工 ）...，應由被上訴人負擔」，被上訴人應","，第二審程序訴之變更或追加，非經他造同意不得為之 ；但請求之基礎事實同一、擴張或減縮應受判決事項之聲明 者，不在此限，民事訴訟法第446條第1項、第255條第1項第 2款、第3款分別定有明文。查本件上訴人於原審請求被上訴 人應給付積欠工程款新臺幣（下同）196萬5,609元，及自起 訴狀繕本送達翌日起算之法定遲延利息。嗣於本院請求被上 訴人給付194萬4,716元本息（見本院卷第116、280頁），核 屬減縮起訴之聲明，依據前揭規定，應予准許，合先敘明。 貳、實體方面： 一、本件上訴人主張：伊於108年10月30日承攬被上訴人之金山 大樓10樓頂板結構修復工程（下稱頂板修復工程）及屋頂防 水工程(下與頂板修復工程合稱系爭工"
"MLDV,109,建,21,20210128,1",給付監造服務費用等,5,"TPDV,110,建,177,20220407,1",0.9043,2022,臺灣臺北地方法院民事,給付逾期違約金,工期;逾期;過高;違約金;酌減;逾期違約金;驗收;遲延;民法第252條;可歸責;第252條;issue_partial_completion,民法第252條;酌減;第252條;過高,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣臺北地方法院民事/TPDV,110,建,177,20220407,1.json","施作完 成預計可獲得之價金僅為77萬7,500元（8月615,500元＋9月1 62,000元），原告於8、9月份所受之損害不應該超過77萬7, 500元。況伊於109年8、9月份仍有派員進場施作打草，是原 告已受有利益，所受損害有限，但原告主張之109年8、9月 份逾期計罰總額高達167萬6,970元，實屬過高，請求依民法 第251條、第252條規定酌減違約金等語。 ㈤並聲明：⒈原告之訴及其假執行之聲請均駁回。⒉如受不利益 判決，願供擔保，請准予宣告免為假執行 三、兩造不爭執事項（見本院卷㈠第409至412頁、卷㈡第189頁， 並依判決格式調整順序、增刪及修改用語）： ㈠原告於108年12月6日將系爭採購案決標予被告，兩造",臺灣臺北地方法院民事判決 110年度建字第177號 原 告 國防部 法定代理人 邱國正 訴訟代理人 陳金泉律師 葛百鈴律師 黃胤欣律師 被 告 楊玉潔即吉恩行 訴訟代理人 林明煌律師(法扶律師) 上列當事人間請求給付逾期違約金事件，本院於民國111年3月3 日言詞辯論終結，判決如下： 主 文 原告之訴及其假執行之聲請均駁回。 訴訟費用由原告負擔。 事實及理由 壹、程序方面 查「吉恩行」為楊玉潔所成立之獨資商號，故本件被告應為 「甲○○○○○○」。又查，兩造於簽訂之「基地草坪維護採購（ 下稱系爭採購案）契約」（下稱系爭契
